-1.75,0.8,-1.5707963267949,0.0
-1.53418497892836,1.367850692354,,0.4
-1.07587673088501,1.97874021673691,3.14159265358979,0.4
-0.7,2.5,,0.4
-0.68,2.75,,
-0.68,3.0,,
-0.68,3.25,,
-0.68,3.5,,
-0.68,3.75,,
-0.68,4.0,,
-0.68,4.25,,
-0.68,4.5,,
-0.68,4.75,,
-0.68,5.0,,
-0.68,5.25,,
-0.68,5.5,,
-0.68,5.75,,
-0.68,6.0,,
-0.68,6.25,,
-0.68,6.5,,
-0.68,6.75,,
-0.68,7.0,,
-0.68,7.25,,
-0.68,7.5,,0.4
-0.68,7.75,,0.4
-0.65,8.0,3.14,0.4
-1.25,8.75,,0.4
-1.5,8.7,,0.4
-1.8,8.65,-1.5707963267949,0.4
-2.0,8.6,-1.5707963267949,
-2.25,8.58,-1.5707963267949,
-2.5,8.58,-1.5707963267949,
-2.75,8.58,,
-3.0,8.58,,
-3.25,8.58,,
-3.5,8.58,,
-3.75,8.58,,
-4.0,8.58,-1.5707963267949,
-4.25,8.6,,
-4.5,8.7,,
-4.8,8.8,,
-5.2,9.4,,
-5.2,10.2,,
-5.0,10.75,-1.5707963267949,
-4.12,11.0,,
-2.7,11.0,0.0,0.4
-2.06,11.0,,0.4
-1.5,11.0,0.0,0.0
